Pick,Name,Team Code,Position,Avg Pick,Min Pick,Max Pick,DraftYr
2,Chris Wells,ARI,RB,37.68,1,152,2009
3,Donald Brown,IND,RB,53.84,1,192,2009
4,LeSean McCoy,PHI,RB,66.9,1,188,2009
5,Percy Harvin,MIN,WR,71.25,2,188,2009
6,Gartrell Johnson,NYG,RB,78.64,10,247,2009
7,Michael Crabtree,SFO,WR,86.19,1,224,2009
8,Josh Freeman,TBB,QB,86.2,7,275,2009
9,Mohamed Massaquoi,CLE,WR,87.19,15,274,2009
10,Shonn Greene,NYJ,RB,87.53,2,245,2009
11,Andre Brown,NYG,RB,93.95,9,275,2009
12,Jeremy Maclin,PHI,WR,94.83,1,259,2009
13,James Davis,CLE,RB,95.52,1,240,2009
14,Jared Cook,TEN,TE,95.87,13,289,2009
15,Ramses Barden,NYG,WR,97.21,17,264,2009
16,Mark Sanchez,NYJ,QB,98.94,1,304,2009
17,Javon Ringer,TEN,RB,99.2,13,339,2009
18,Hakeem Nicks,NYG,WR,99.23,1,276,2009
19,Bernard Scott,CIN,RB,99.71,8,236,2009
20,Glen Coffee,SFO,RB,100.08,6,245,2009
21,Pat White,MIA,QB,100.25,13,293,2009
22,Matthew Stafford,DET,QB,100.57,1,262,2009
23,Brian Robiskie,CLE,WR,101.06,11,263,2009
24,Juaquin Iglesias,CHI,WR,101.17,18,287,2009
25,Deon Butler,SEA,WR,102.11,15,306,2009
26,Kenny Britt,TEN,WR,102.65,2,238,2009
27,Austin Collie,IND,WR,103.55,9,282,2009
28,Mike Goodson,CAR,RB,103.77,6,274,2009
29,Darrius Heyward-Bey,OAK,WR,106.87,3,270,2009
30,Rashad Jennings,JAC,RB,109.49,3,275,2009
31,Brandon Pettigrew,DET,TE,109.63,9,329,2009
32,Chase Coffman,CIN,TE,111.55,15,286,2009
33,Brian Hartline,MIA,WR,134.5,23,359,2009
